Username,Name,Tweet Text,Tweet URL,Created at
idbaruid,Ekspedisi Indonesia Baru,"Begini foto “neraka” smelter dan tambang nikel di Pulau Obi, Halmahera Selatan‼️ #ResetIndonesia https://t.co/U41aYhMzvR",https://twitter.com/idbaruid/status/1974060582270873889,2025-10-03 10:34:53+00:00
mcnfolk,Abeng.,"‼️ FREE HEADER.
Repost &amp; use it are very appreciated.

#BebaskanKawanKami: Teman-teman kreator mau pun segala normies, silakan pakai header ini guna menyuarakan dukungan 3000+ kawan kita yang masih ditahan oleh aparat. Sekecil apapun perlawanan, tetap perlawanan.

#ResetIndonesia https://t.co/xaPelcEiRp",https://twitter.com/mcnfolk/status/1968666072245997756,2025-09-18 13:19:02+00:00
blank0429,𝚋𝚕𝚊𝚗𝚔,"Siapa yg usir warga dari pulau Rempang?

Siapa tampil paling depan amankan kepentingan pengusaha saat ada konflik agraria?

Siapa yg bubar²kan aksi Mahasiswa, elemen masyarakat &amp; aksi² serupa?

Siapa yg aktif berpolitik dgn ketidakprofesionalannya?

Ya. Polisi!

#ResetIndonesia https://t.co/CMJd0PvMGu",https://twitter.com/blank0429/status/1977602247212327423,2025-10-13 05:08:12+00:00
GusDark4,Gus Dark | Darkade Propaganda,"Tujuan perlawanan Rakyat jauh lebih besar, Tujuan kami hanya satu menuju Republik Indonesia yang bersih, transparan, bebas Oligarchy boomer pemuja Orba dan status quo,berkeadilan &amp; sejahtera untuk seluruh Rakyat! Reformasi harus tuntas. RESET INDONESIA. 🔥
.
#resetindonesia https://t.co/Z5trdvX1jP",https://twitter.com/GusDark4/status/1967119071897702900,2025-09-14 06:51:48+00:00
bobby_fauzie,Qolbi Fauzie,"Jumat
MBG: Seharusnya nutrisi gratis, tapi jadi racun kolektif.  
5.360 anak jadi korban, 82,9 juta penerima jadi taruhan.  
#Venezuela #IndonesiaGelap
#MelawanLupa #ProofOfFortification #ResetIndonesia https://t.co/wqaCN6FKTH",https://twitter.com/bobby_fauzie/status/1969055664501629016,2025-09-19 15:07:08+00:00
projectm_org,Project Multatuli,"Apa kabar rencana Reformasi Polri? 

Ternyata teringgal jauh di belakang. 

Kalah cepat dengan Polri yang sudah membentuk Tim Transformasi Reformasi Polri dan sibuk memburu para pegiat demokrasi. 

📷: Humas Polri, Adrian Mulya 

#ReformasiPolri #ResetIndonesia #ProjectMultatuli https://t.co/ZlO9j1soCX",https://twitter.com/projectm_org/status/1972620322966040639,2025-09-29 11:11:49+00:00
idbaruid,Ekspedisi Indonesia Baru,"Ahli Hukum Tata Negara, @BivitriS , di depan Gerbang Brandenburg, Berlin: #ResetIndonesia! https://t.co/5CN8hKxPYt",https://twitter.com/idbaruid/status/1976949925054496855,2025-10-11 09:56:06+00:00
monroevIIe,ses #1312,#ResetIndonesia https://t.co/d1fifzFax4,https://twitter.com/monroevIIe/status/1967097363170009427,2025-09-14 05:25:32+00:00
AmnestyMy,Amnesty International Malaysia,"More than 2000 people in Indonesia have been arbitrarily arrested for protesting against inequality and police violence. #ResetIndonesia: Fight injustice, not the people. Free Indonesian peaceful protesters, stop police violence, fulfill social and economic justice! https://t.co/KWL42ju0xM",https://twitter.com/AmnestyMy/status/1968533373540012267,2025-09-18 04:31:44+00:00
idbaruid,Ekspedisi Indonesia Baru,#ResetIndonesia is everywhere. https://t.co/8EQrMVO9hv,https://twitter.com/idbaruid/status/1976908660850016291,2025-10-11 07:12:08+00:00
KomunitasBambu,Komunitas Bambu,"Kalau ingin rebut kemerdekaan lagi dan mewujudkan cita-citanya yang harus diperbarui karena dirusak kelas penguasa, maka #RESETINDONESIA ini bacaan utamanya. https://t.co/lJEyJUibjN",https://twitter.com/KomunitasBambu/status/1966016342777324019,2025-09-11 05:49:57+00:00
Dandhy_Laksono,Dandhy Laksono,#ResetIndonesia https://t.co/hrkfXXNDcm,https://twitter.com/Dandhy_Laksono/status/1971784905320550670,2025-09-27 03:52:10+00:00
dexglenniza,Dex Glennıza,"Kalau cuma mau lolos ke Piala Dunia, kita gak perlu repot benerin liga, wasit, atau pembinaan.

Toh, banyak negara bisa ke sana tanpa sistem yang sehat.

Masalahnya: Indonesia mau “lolos” aja, atau “maju”?

#VARfromHome @Box2BoxBola #ResetIndonesia https://t.co/nfkWt3054W",https://twitter.com/dexglenniza/status/1976688494522290336,2025-10-10 16:37:16+00:00
idbaruid,Ekspedisi Indonesia Baru,#ResetIndonesia https://t.co/uwRGDT7Udb,https://twitter.com/idbaruid/status/1977358996643160297,2025-10-12 13:01:37+00:00
wkkdrs,bian 🍉,"naikkan bray

#PeringatanDarurat #savekipkuliah #turunkanuktptn #AdiliJokowi #REFORMASIDIKORUPSI https://t.co/QC6qAVUB5M",https://twitter.com/wkkdrs/status/1890030381434597495,2025-02-13 13:28:52+00:00
kokooamilo_,mil,"@ceciliatoumahuw #TolakUUTNI  
#TolakRUUPolri
#TolakDwifungsiABRI
#TolakRUUKUHAP 
#ReformasiDikorupsi
#IndonesiaGelap
#GammaDibunuhPolisi
#JusticeForKanjuruhan 
#031Melawan
#SupremasiSipil https://t.co/YI9G2ZncSV",https://twitter.com/kokooamilo_/status/1905550096672215265,2025-03-28 09:18:41+00:00
hedsetminiso,Jual Air Doa,"@barengwarga @listentofeast @wordfangs @ffikriawan nemu vidio 2019 pas #REFORMASIDIKORUPSI lagunya pas feast @wordfangs !!. semoga besok seperti ini!!!
credit : nemu di instagram https://t.co/K0xW1VgdJ2",https://twitter.com/hedsetminiso/status/1892609142524711350,2025-02-20 16:15:57+00:00
SiAndiiii,𝔸𝕟𝕕𝕚,#KawalDemokrasi #ReformasiDikorupsi https://t.co/g9O1rxPrcW,https://twitter.com/SiAndiiii/status/1826295648465146288,2024-08-21 16:29:48+00:00
poin_opini,Poin & Opini,From #ReformasiDikorupsi to #RIPReformasi https://t.co/EX4aANlIjN,https://twitter.com/poin_opini/status/1902602567760408628,2025-03-20 06:06:15+00:00
mengagetkan,⠁⠝⠑,#ReformasiDikorupsi https://t.co/2AlnI2tvm8,https://twitter.com/mengagetkan/status/1962516996907835651,2025-09-01 14:04:48+00:00
Gitarizti,Gitagita🪽,"From #Reformasidikorupsi (2019) to #Indonesiagelap (2025), the way the government deal with citizens who demanding justice remains the same.
Beaten. Arrested. Terrorized. Crushed to death. 

Still asking why the people are angry? https://t.co/P8DzOoQ0nX",https://twitter.com/Gitarizti/status/1961724787262374296,2025-08-30 09:36:51+00:00
HNahdiana,Hasti Nahdiana 🦉,"#IndonesiaGelap 
#ReformasiDikorupsi
#KaburAjaDulu 
#02508025Reformasi https://t.co/EkX4kmU7QI",https://twitter.com/HNahdiana/status/1958346310895251925,2025-08-21 01:51:59+00:00
shocookies,🌻ara,"tahun 2019 ikut demo #REFORMASIDIKORUPSI tanpa izin ke org tua, berangkat dari kampus bersama lely dan hilda. skrg ibuku udah ngancam duluan biar ga diem2 ikutan demo kayak dulu2, tapi sejujurnya hati kecilku pgn ikutan…🥲 i feel guilty if i just keep quiet and do nothing https://t.co/Zmc0JXoDzg",https://twitter.com/shocookies/status/1961707644017938898,2025-08-30 08:28:43+00:00
apuciapucu,ʚ jeni ଓ,"Vox Populi Vox Dei
#ReformasiDikorupsi #RIPJustice #ACAB #LAWAN #HidupRakyatIndonesia https://t.co/QxbddBZKRd",https://twitter.com/apuciapucu/status/1961819550129021265,2025-08-30 15:53:24+00:00
ainulmahrus,ainulmahrus,"Quo Vadis Reformasi 1998?
#ReformasiDikorupsi https://t.co/3GTJVsBump",https://twitter.com/ainulmahrus/status/1905583778778808787,2025-03-28 11:32:31+00:00
FJ_FAA,FAA,"Kurang lengkap. Seharusnya dimulai dari KPK yang dikebiri, lalu mahasiswa dan masyarakat turun ke jalan melalui demo #ReformasiDikorupsi tahun 2019. https://t.co/PJNidju4BL",https://twitter.com/FJ_FAA/status/1963845334737539461,2025-09-05 06:03:08+00:00
StruggleTravel,Gie,"Diam bukanlah pilihan saat negeri berada di ujung genting.
Ketidakadilan bukan untuk ditonton, tapi untuk diperjuangkan.
Suara rakyat adalah nyawa demokrasi ✊🏽🔥

#Demo28Agustus #JakartaBergerak #SuaraRakyat #ReformasiDikorupsi #TolakKetidakadilan #IndonesiaDarurat #AksiDamai https://t.co/ynMtPrmCm1",https://twitter.com/StruggleTravel/status/1961104804606038523,2025-08-28 16:33:15+00:00
out_of_thecourt,sekar with #AllEyesOnPapua 🍉,@permatadnda Penasaran ya kenapa buzzer ga pernah mengomentari peserta aksi womenmarch yg selalu slay dengan outfit dan make upnya? 🥹 Btw aku sudah membiasakan full make up buat aksi sejak ReformasiDikorupsi karena kalau cakep nggak bakalan kena pukul dan boleh langsung masuk Polda🙏🏾🥹 https://t.co/efgkdi2lqD,https://twitter.com/out_of_thecourt/status/1909562133031055517,2025-04-08 11:01:05+00:00
ibswNova,LSM - IBSW Public Service&Public Policy,"Korban Berjatuhan Lagi, 
Aparat BRUTAL
Selamat Jalan Pahlawan REFORMASI
Selamat Jalan TELADAN BANGSA
#TolakTunjanganDPR 
#aparatbrutal #salingjagaindonesia #REFORMASIDIKORUPSI #indonesia2025 https://t.co/HhRLATkfee",https://twitter.com/ibswNova/status/1962349406516392239,2025-09-01 02:58:51+00:00
ExiledPhilosop2,Yang Wage Li,"I love when liberals act like some fucking hero when they have a history of supporting the current regime.

Remember ReformasiDiKorupsi happened in 2019, and that butch tweeted this in 2020 https://t.co/upjqqmkmWG",https://twitter.com/ExiledPhilosop2/status/1892603928979689540,2025-02-20 15:55:14+00:00
bellingiham,َ,"imagine struggling to buy basic necessities while your lawmakers get a housing allowance that could buy a car every month. but hey, priorities, right? Indonesia isn’t broken, it’s just being managed exceptionally well. 😂 #ReformasiDikorupsi #SaveIndonesia",https://twitter.com/bellingiham/status/1961114327613579451,2025-08-28 17:11:06+00:00
ConversationIDN,The Conversation Indonesia,"Dari #ReformasiDikorupsi (2019) sampai #IndonesiaGelap (2025).

Kaum muda selalu di garis depan. Bukan lagi gerakan “pohon”, tapi “rimpang”: Tumbuh menjalar, cair, spontan, tanpa satu pemimpin tunggal.

https://t.co/oVTqxOBEzx https://t.co/XBqeE7BExS",https://twitter.com/ConversationIDN/status/1963920751813177601,2025-09-05 11:02:49+00:00
KangDimas17,Dimas MUHAMMAD Erlangga,"Hidup Perempuan Yang Melawan!

#Perempuan #PerempuanIndonesia #ReformasiDikorupsi #MosiTidakPercaya #DemokrasiDikorupsi #PanjangUmurPerjuangan #PanjangUmurPerlawanan #Marhaenisme #Pancasila #TolakRUUTNI #CabutUUTNI #TolakRUUPOLRI #TolakOmnibusLaw #CabutOmnibusLaw https://t.co/aFX3P59t5u",https://twitter.com/KangDimas17/status/1926067831658959034,2025-05-24 00:08:50+00:00
Marejivari31,marejivari | OPEN COMMS |,Suara rakyat yang gatau sampai kapan dibendung #suararakyat #ArtistBersuara #ResetIndonesia #bravepink https://t.co/MxDjPq6LPV,https://twitter.com/Marejivari31/status/1962910507570176058,2025-09-02 16:08:28+00:00
Vhienaiueo,Vhira Eka Nasheer,"Anggota DPR yang mencederai perasaan rakyat merupakan penyimpangan

#WakilRakyat #SuaraRakyat #AspirasiMasyarakat https://t.co/jzs2bh5ZdC",https://twitter.com/Vhienaiueo/status/1963465087030890573,2025-09-04 04:52:10+00:00
KonsumenBerdaya,KonsumenBerdayaIndonesia,"PBB Naik Tak Masuk Akal?
Di tengah ekonomi yang lagi seret, wajar kalau masyarakat merasa diperas dan akhirnya protes besar-besaran. Pajak memang penting, tapi harus adil dan rasional. 

#suararakyat #pajak #adil #rumah #pbb #ekonomi #ekonomirakyat #kebijakan #berita #viral https://t.co/nXb3jFxZys",https://twitter.com/KonsumenBerdaya/status/1957262960596009459,2025-08-18 02:07:08+00:00
MonikCarlo,Carlo Monik,"Di hari TNI, senjata seolah jadi simbol baru: bukan lagi alat perang, tapi tanda kuasa.
Ketika Satpol PP dan Damkar ikut memegangnya, wajar publik bertanya—

#HUTTNI #DemokrasiKita #MiliterisasiSipil #SuaraRakyat #sstvi #LaVozArgentina #srchafreen https://t.co/K5FMakSW0S",https://twitter.com/MonikCarlo/status/1978424233874112525,2025-10-15 11:34:29+00:00
Angelialiani,Angelia,"Dulu kita berjuang melawan dominasi militer di ranah sipil. Sekarang, perjuangan itu kembali dipertaruhkan. 
#IngatReformasi98 #TolakJunta #SuaraRakyat https://t.co/rWZXWCR7Av",https://twitter.com/Angelialiani/status/1978423198484951364,2025-10-15 11:30:22+00:00
Vhienaiueo,Vhira Eka Nasheer,"Bebas berpendapat tapi tetap dalam koridor hukum

#AksiDamai #AksiTanpaAnarkis #BebasTapiSantun #SuaraRakyat #JagaIndonesia https://t.co/p6gwaZKsFt",https://twitter.com/Vhienaiueo/status/1969008572722811322,2025-09-19 12:00:00+00:00
Indra97682245,Lambang indra. Suararakyat info,https://t.co/0oMXgLOu1K,https://twitter.com/Indra97682245/status/1978365833643532683,2025-10-15 07:42:25+00:00
Vhienaiueo,Vhira Eka Nasheer,"Berpendapat Bebas
Bertanggung Jawab di Mata Hukum

#AksiDamai #AksiTanpaAnarkis #BebasTapiSantun #SuaraRakyat #JagaIndonesia https://t.co/ztCKFmGxah",https://twitter.com/Vhienaiueo/status/1969009023119729150,2025-09-19 12:01:48+00:00
Vhienaiueo,Vhira Eka Nasheer,"Tak Ada Ruang bagi Wakil Rakyat Bermasalah

#WakilRakyat #SuaraRakyat #AspirasiMasyarakat https://t.co/nL4u5AHRK0",https://twitter.com/Vhienaiueo/status/1963465315679158675,2025-09-04 04:53:05+00:00
OfficialKpu,KPU Kab. Pesisir Selatan Official,"📢 Teman Pemilih, Demokrasi bukan sekedar hak memilih, tapi juga tanggungjawab untuk peduli. Suaramu, masa depan kita. 🇲🇨
#Demokrasi #SuaraRakyat
#IndonesiaBerdemokrasi https://t.co/Um2cETuQok",https://twitter.com/OfficialKpu/status/1972575709190312313,2025-09-29 08:14:32+00:00
Vhienaiueo,Vhira Eka Nasheer,"Bebas Berpendapat
Bijak Menjaga Batas

#AksiDamai #AksiTanpaAnarkis #BebasTapiSantun #SuaraRakyat #JagaIndonesia https://t.co/StlkMZXoQw",https://twitter.com/Vhienaiueo/status/1969008793485725807,2025-09-19 12:00:53+00:00
DDewata3656,Joe - Ker.💪🇮🇩,"Siapapun anda, sebagai Rakyat Indonesia yg telah membayar pajak.
Memiliki Hak untuk meminta fasilitas dari Negara.
Menteri Keuangan Sri Mulyani harus sadar diri..
#suararakyat🇮🇩
@setjenkemenkeu 
@DPR_RI 
@AdianNapitupul1 https://t.co/1XMBqsKnC5",https://twitter.com/DDewata3656/status/1962958971553407315,2025-09-02 19:21:03+00:00
DiskursusNet,Diskursus Network,"Dulu kita punya pahlawan pink di televisi.  Hari ini kita lihat pahlawan nyata di jalanan dan juga media sosial. Mereka berasal dari mahasiswa, pelajar, buruh, ibu-ibu, artis, selebgram, diaspora dan seluruh elemen masyarakat.

#Indonesia #DemoIndonesia #AksiDamai #SuaraRakyat https://t.co/nt7YTTXfQY",https://twitter.com/DiskursusNet/status/1963116150151323751,2025-09-03 05:45:37+00:00
Jelitaananda9,Jelita Sean (Jie_XFX),Bayar influencer 150 juta cuma buat jadi buzzer? Uang rakyat dipakai buat bungkam rakyat. Ironi paling mahal abad ini: suara kritis disulap jadi iklan murahan. #TolakBuzzer #SuaraRakyat #Indonesiakusakit https://t.co/1zftl7ATC6,https://twitter.com/Jelitaananda9/status/1961622877809381496,2025-08-30 02:51:53+00:00
Indra97682245,Lambang indra. Suararakyat info,https://t.co/dYpBl9FTLD,https://twitter.com/Indra97682245/status/1978264247743176829,2025-10-15 00:58:45+00:00
ZulfanZainal,Zulfan Zainal,"Jejak Digital Pembunuhan Sadis KM 50....
#suararakyat #adilijokowi #ViralVideos #pecatkapolri #fypシ https://t.co/dsVPGqjEK4",https://twitter.com/ZulfanZainal/status/1967496104699957665,2025-09-15 07:50:00+00:00
SuaraRakyat_SR,Suara Rakyat - SR,"Alhamdulillah 👍

Terima kasih YB @fahmi_fadzil atas keprihatinan memberi telefon bimbit percuma kepada semua peserta GSF Malaysia.

Semua tahu yang telefon mereka telah dicampak ke laut atas tujuan keselamatan. https://t.co/dqEaT3eaof",https://twitter.com/SuaraRakyat_SR/status/1975871935381958675,2025-10-08 10:32:33+00:00
Indra97682245,Lambang indra. Suararakyat info,https://t.co/8uDpSPYUY3,https://twitter.com/Indra97682245/status/1978363235486040410,2025-10-15 07:32:06+00:00
wendi008,wendi,"Kabur Kabur Kabur 🤑🤑🤑
#NegaraTidakBaikBaikSaja
Negara Lain Kabur 🤑🤑🤑
Koruptor Di Puja dan Dijaga
🐯🤡🤑🤡🐯🤑
#2030Tenggelam",https://twitter.com/wendi008/status/1895568267332509940,2025-02-28 20:14:27+00:00
sandiwara969,sandiwara,"Waktu musim parpol pada bagi bagi kaos, padahal engga butuh. Sekarang cuma butuh masker susah sekali. 
#NegaraTidakBaikBaikSaja
#hargamaskerlebihmurah",https://twitter.com/sandiwara969/status/1241194308125880322,2020-03-21 02:45:57+00:00
RNyaen22295,Abu Surojo04,"@aly_benzema terang benderang begini,
masih jga banyak yg diem ......
pasti sejarah akan mencatat...!,
tpi para pelakunya tentu dan pasti gak ambil pusing dengana itu.....
#NegaraTidakBaikBaikSaja ......",https://twitter.com/RNyaen22295/status/1745318548854177844,2024-01-11 05:35:43+00:00
RadityaRakabumi,Raditya.Jr,"Tidak ada kata terlambat untuk menyelamatkan NKRI
Dari para politisi Busuk !!!

#KawalPutusanMK 
#SelamatkanDemokrasi https://t.co/maV3ErzzTw",https://twitter.com/RadityaRakabumi/status/1826240780626968888,2024-08-21 12:51:46+00:00
PineksoRoyi1,Loose GunSlinger,EMERGENCY ACTION NEEDED !!!! #SelamatkanDemokrasi #KawalPutuskanMK #LawanTiraniBangsaSendiri !!!! https://t.co/JyT4e5iEup,https://twitter.com/PineksoRoyi1/status/1826226998668398850,2024-08-21 11:57:00+00:00
Lam_Sijan,Lam Sijan 🇮🇩🇵🇸,"Politik MUAK!
#KawalPutuskanMK
#SelamatkanDemokrasi https://t.co/RUy4W8zWIq",https://twitter.com/Lam_Sijan/status/1826215612428976601,2024-08-21 11:11:46+00:00
Reiza_Patters,Katak Pembina 走れ包,#KawalPutusanMK #SelamatkanDemokrasi #JagaIndonesia https://t.co/kuVNr7h05W,https://twitter.com/Reiza_Patters/status/1826236374460293597,2024-08-21 12:34:16+00:00
